symbol,tf,config,split,n,total_R,avg_R,win_pct,t_stat,profit_factor,maxDD_R,n_long,n_short
US SP 500,H1,setA_60_125_250,IS,33,14.01,0.4245,63.6,1.81,2.17,4.0,24,9
US SP 500,H1,setA_60_125_250,OOS,10,-8.0,-0.7998,20.0,-5.99,0.0,7.0,7,3
US SP 500,H1,setB_50_110_250,IS,39,16.02,0.4107,69.2,2.02,2.33,3.0,27,12
US SP 500,H1,setB_50_110_250,OOS,14,-10.0,-0.714,28.6,-5.69,0.0,10.0,8,6
US SP 500,H1,setC_40_120_350,IS,34,13.04,0.3836,67.6,1.75,2.19,4.0,26,8
US SP 500,H1,setC_40_120_350,OOS,12,-8.0,-0.6663,33.3,-4.68,0.0,7.0,7,5
US SP 500,H1,A_macd_off,IS,73,3.6,0.0493,53.4,0.34,1.1,9.0,55,18
US SP 500,H1,A_macd_off,OOS,27,-9.25,-0.3425,33.3,-1.66,0.46,11.3,17,10
US SP 500,H1,A_be_off,IS,32,13.0,0.4062,46.9,1.51,1.76,4.0,23,9
US SP 500,H1,A_be_off,OOS,10,-7.0,-0.7,10.0,-2.33,0.22,6.0,7,3
US SP 500,H1,A_stack_off,IS,37,16.01,0.4327,62.2,1.93,2.14,4.0,27,10
US SP 500,H1,A_stack_off,OOS,14,-7.0,-0.4997,35.7,-2.19,0.22,7.0,9,5
US SP 500,H1,A_tp3,IS,31,14.22,0.4586,58.1,1.48,2.09,4.0,22,9
US SP 500,H1,A_tp3,OOS,10,-8.0,-0.7998,20.0,-5.99,0.0,7.0,7,3
US SP 500,H1,A_be_optimistic,IS,33,14.01,0.4245,63.6,1.81,2.17,4.0,24,9
US SP 500,H1,A_be_optimistic,OOS,10,-8.0,-0.7998,20.0,-5.99,0.0,7.0,7,3
US SP 500,H1,setA_x0spread,IS,34,13.01,0.3828,67.6,1.74,2.18,4.0,25,9
US SP 500,H1,setA_x0spread,OOS,10,-8.0,-0.7998,20.0,-5.99,0.0,7.0,7,3
US SP 500,H1,setA_x2spread,IS,33,14.01,0.4245,63.6,1.81,2.17,4.0,24,9
US SP 500,H1,setA_x2spread,OOS,10,-8.0,-0.7998,20.0,-5.99,0.0,7.0,7,3
US SP 500,M15,setA_60_125_250,IS,72,-9.94,-0.1381,44.4,-0.99,0.75,15.0,50,22
US SP 500,M15,setA_60_125_250,OOS,43,-9.14,-0.2125,37.2,-1.14,0.67,15.1,27,16
US SP 500,M15,setB_50_110_250,IS,97,0.82,0.0085,50.5,0.07,1.02,11.9,69,28
US SP 500,M15,setB_50_110_250,OOS,52,-8.39,-0.1614,46.2,-1.0,0.71,14.6,34,18
US SP 500,M15,setC_40_120_350,IS,103,-4.75,-0.0461,48.5,-0.39,0.91,13.8,73,30
US SP 500,M15,setC_40_120_350,OOS,47,0.46,0.0098,42.6,0.05,1.02,9.5,29,18
US SP 500,M15,A_macd_off,IS,253,6.27,0.0248,50.2,0.32,1.05,34.9,165,88
US SP 500,M15,A_macd_off,OOS,105,-6.52,-0.0621,41.9,-0.5,0.89,13.5,58,47
US SP 500,M15,A_be_off,IS,70,-6.4,-0.0914,30.0,-0.55,0.87,12.4,49,21
US SP 500,M15,A_be_off,OOS,43,-11.0,-0.2559,27.9,-1.3,0.65,19.2,27,16
US SP 500,M15,A_stack_off,IS,81,-13.93,-0.172,43.2,-1.33,0.7,18.9,53,28
US SP 500,M15,A_stack_off,OOS,51,-11.11,-0.2179,39.2,-1.32,0.65,17.1,31,20
US SP 500,M15,A_tp3,IS,72,-9.66,-0.1342,44.4,-0.84,0.76,14.0,50,22
US SP 500,M15,A_tp3,OOS,42,-12.13,-0.2888,35.7,-1.43,0.56,14.1,27,15
US SP 500,M15,A_be_optimistic,IS,72,-11.94,-0.1658,44.4,-1.22,0.7,16.9,50,22
US SP 500,M15,A_be_optimistic,OOS,43,-11.13,-0.2589,37.2,-1.45,0.6,17.1,27,16
US SP 500,M15,setA_x0spread,IS,74,-9.93,-0.1342,45.9,-0.99,0.75,14.0,52,22
US SP 500,M15,setA_x0spread,OOS,44,-8.49,-0.193,36.4,-1.02,0.7,14.5,28,16
US SP 500,M15,setA_x2spread,IS,72,-7.95,-0.1104,44.4,-0.78,0.8,15.0,50,22
US SP 500,M15,setA_x2spread,OOS,43,-9.14,-0.2126,37.2,-1.14,0.67,15.1,27,16
Wall Street 30,H1,setA_60_125_250,IS,23,2.26,0.0984,60.9,0.38,1.23,3.0,15,8
Wall Street 30,H1,setA_60_125_250,OOS,10,-2.25,-0.2249,30.0,-0.58,0.64,3.0,8,2
Wall Street 30,H1,setB_50_110_250,IS,30,4.0,0.1334,53.3,0.56,1.29,6.0,22,8
Wall Street 30,H1,setB_50_110_250,OOS,12,-5.27,-0.4388,33.3,-1.7,0.28,5.0,9,3
Wall Street 30,H1,setC_40_120_350,IS,28,9.17,0.3275,57.1,1.21,1.71,4.0,22,6
Wall Street 30,H1,setC_40_120_350,OOS,14,-5.25,-0.3753,28.6,-1.3,0.43,6.0,11,3
Wall Street 30,H1,A_macd_off,IS,74,-2.0,-0.027,50.0,-0.19,0.94,9.2,48,26
Wall Street 30,H1,A_macd_off,OOS,34,-3.25,-0.0955,35.3,-0.42,0.85,7.0,25,9
Wall Street 30,H1,A_be_off,IS,22,-1.74,-0.079,31.8,-0.25,0.89,4.7,14,8
Wall Street 30,H1,A_be_off,OOS,10,-3.25,-0.3249,20.0,-0.82,0.55,4.0,8,2
Wall Street 30,H1,A_stack_off,IS,30,-3.74,-0.1245,50.0,-0.58,0.76,7.7,18,12
Wall Street 30,H1,A_stack_off,OOS,11,-2.25,-0.2044,36.4,-0.58,0.64,3.0,9,2
Wall Street 30,H1,A_tp3,IS,23,-0.74,-0.032,60.9,-0.12,0.92,4.0,15,8
Wall Street 30,H1,A_tp3,OOS,9,-2.25,-0.2498,33.3,-0.58,0.57,3.0,7,2
Wall Street 30,H1,A_be_optimistic,IS,23,2.26,0.0984,60.9,0.38,1.23,3.0,15,8
Wall Street 30,H1,A_be_optimistic,OOS,10,-4.25,-0.4248,30.0,-1.4,0.32,3.2,8,2
Wall Street 30,H1,setA_x0spread,IS,23,2.26,0.0983,60.9,0.37,1.23,3.0,15,8
Wall Street 30,H1,setA_x0spread,OOS,10,-2.25,-0.2245,30.0,-0.58,0.64,3.0,8,2
Wall Street 30,H1,setA_x2spread,IS,23,2.27,0.0986,60.9,0.38,1.23,3.0,15,8
Wall Street 30,H1,setA_x2spread,OOS,10,-2.25,-0.2252,30.0,-0.58,0.64,3.0,8,2
Wall Street 30,M15,setA_60_125_250,IS,97,-7.08,-0.073,48.5,-0.61,0.86,13.1,62,35
Wall Street 30,M15,setA_60_125_250,OOS,36,-11.31,-0.3142,33.3,-1.69,0.51,12.8,22,14
Wall Street 30,M15,setB_50_110_250,IS,117,-15.1,-0.129,41.9,-1.16,0.78,22.1,72,45
Wall Street 30,M15,setB_50_110_250,OOS,52,-12.53,-0.241,38.5,-1.56,0.59,16.0,35,17
Wall Street 30,M15,setC_40_120_350,IS,119,-1.08,-0.0091,49.6,-0.08,0.98,10.1,72,47
Wall Street 30,M15,setC_40_120_350,OOS,58,-10.35,-0.1784,39.7,-1.15,0.7,14.8,39,19
Wall Street 30,M15,A_macd_off,IS,260,-1.19,-0.0046,48.1,-0.06,0.99,18.2,143,117
Wall Street 30,M15,A_macd_off,OOS,109,-16.96,-0.1556,43.1,-1.39,0.72,20.8,64,45
Wall Street 30,M15,A_be_off,IS,90,-5.31,-0.059,31.1,-0.4,0.91,12.0,56,34
Wall Street 30,M15,A_be_off,OOS,36,-13.69,-0.3804,22.2,-1.89,0.51,17.0,22,14
Wall Street 30,M15,A_stack_off,IS,111,-16.08,-0.1449,45.0,-1.33,0.73,19.1,72,39
Wall Street 30,M15,A_stack_off,OOS,45,-10.31,-0.2291,35.6,-1.3,0.64,11.8,29,16
Wall Street 30,M15,A_tp3,IS,93,-20.07,-0.2158,48.4,-1.8,0.57,24.1,61,32
Wall Street 30,M15,A_tp3,OOS,35,-16.31,-0.466,34.3,-2.83,0.27,15.3,21,14
Wall Street 30,M15,A_be_optimistic,IS,97,-12.98,-0.1338,51.5,-1.21,0.72,16.0,62,35
Wall Street 30,M15,A_be_optimistic,OOS,37,-13.81,-0.3733,35.1,-2.2,0.42,15.8,23,14
Wall Street 30,M15,setA_x0spread,IS,97,-9.05,-0.0933,48.5,-0.8,0.82,13.1,62,35
Wall Street 30,M15,setA_x0spread,OOS,36,-12.98,-0.3607,33.3,-2.07,0.44,12.8,22,14
Wall Street 30,M15,setA_x2spread,IS,97,-9.11,-0.0939,48.5,-0.8,0.81,13.1,62,35
Wall Street 30,M15,setA_x2spread,OOS,36,-13.33,-0.3702,33.3,-2.13,0.43,14.8,22,14
Germany 40,H1,setA_60_125_250,IS,21,4.0,0.1905,52.4,0.64,1.4,3.0,14,7
Germany 40,H1,setA_60_125_250,OOS,9,5.34,0.5933,66.7,1.26,2.78,2.0,6,3
Germany 40,H1,setB_50_110_250,IS,26,5.0,0.1924,50.0,0.71,1.38,5.0,17,9
Germany 40,H1,setB_50_110_250,OOS,15,7.83,0.5219,66.7,1.53,2.73,3.0,9,6
Germany 40,H1,setC_40_120_350,IS,28,-2.0,-0.0714,42.9,-0.3,0.88,7.0,18,10
Germany 40,H1,setC_40_120_350,OOS,15,8.34,0.5562,73.3,1.66,3.09,2.0,11,4
