fast,mid,slow,zone,expiry,be,is_n,is_total_R,is_avg_R,is_t,is_win,oos_n,oos_total_R,oos_avg_R,oos_t,oos_win
20,125,250,150.0,12,False,74,-3.9929281931714877,-0.053958489096912,-0.33306004990189914,32.432432432432435,34,11.0,0.3235294117647059,1.247687920194321,44.11764705882353
20,125,250,150.0,16,True,76,1.0001225165316359,0.013159506796468892,0.09346803476818183,51.31578947368421,36,5.0001130434908205,0.13889202898585612,0.7093559164862996,63.888888888888886
20,125,250,150.0,16,False,75,-4.992928193171488,-0.06657237590895317,-0.4152195380772249,32.0,36,12.0,0.3333333333333333,1.3228756555322954,44.44444444444444
20,125,300,100.0,8,True,144,-0.9187392098125988,-0.00638013340147638,-0.061262739197474894,47.22222222222222,51,8.000135034680657,0.15686539283687562,0.9162331414835566,60.78431372549019
20,125,300,100.0,8,False,137,-1.4272325454779091,-0.010417755806408096,-0.0872562946996818,33.57664233576642,49,17.0,0.3469387755102041,1.6108498569090566,44.89795918367347
20,125,300,100.0,12,True,147,-1.9187463420288808,-0.0130526962042781,-0.1259996540542927,46.25850340136054,57,14.000156903938189,0.24561678778838927,1.5090498804625967,64.91228070175438
20,125,300,100.0,12,False,140,-1.4272325454779091,-0.010194518181985066,-0.08629382589650546,33.57142857142857,53,22.0,0.41509433962264153,1.9987297553497907,47.16981132075472
20,125,300,100.0,16,True,149,-1.918721388363235,-0.012877324754115672,-0.12600371508595745,46.97986577181208,62,13.000186148936868,0.20968042175704624,1.342389969232869,62.903225806451616
20,125,300,100.0,16,False,142,-3.42723254547791,-0.024135440461112042,-0.20649591212544155,33.098591549295776,58,20.0,0.3448275862068966,1.7449561011302823,44.827586206896555
20,125,300,150.0,8,True,66,0.00010803139628112746,1.6368393375928403e-06,1.0942059784408452e-05,51.515151515151516,29,1.0000726969141218,0.034485265410831786,0.16618493058664557,62.06896551724138
20,125,300,150.0,8,False,64,-5.992928193171488,-0.0936395030183045,-0.5440596394538865,31.25,29,7.0,0.2413793103448276,0.8644516692407731,41.37931034482759
20,125,300,150.0,12,True,75,0.00011821153379232285,1.576153783897638e-06,1.1298822933275385e-05,52.0,32,2.0000837984921445,0.06250261870287951,0.3117480593560287,62.5
20,125,300,150.0,12,False,73,-5.992928193171488,-0.0820949067557738,-0.5075511462598167,31.506849315068493,32,10.0,0.3125,1.1691206240203362,43.75
20,125,300,150.0,16,True,76,0.0001361505956611886,1.791455206068271e-06,1.3014620341834243e-05,52.63157894736842,34,4.0001130434908205,0.11765038363208295,0.5973082450073136,64.70588235294117
20,125,300,150.0,16,False,74,-6.992928193171488,-0.09449902963745253,-0.5905164083301991,31.08108108108108,34,11.0,0.3235294117647059,1.247687920194321,44.11764705882353
20,125,350,100.0,8,True,141,0.08131122408864755,0.0005766753481464365,0.005508474904795872,48.226950354609926,51,11.000135034680659,0.21568892224864036,1.244245005660325,62.745098039215684
20,125,350,100.0,8,False,134,-1.9296428011625961,-0.014400319411661165,-0.11914816391417019,33.582089552238806,49,20.0,0.40816326530612246,1.8887686585995427,46.93877551020408
20,125,350,100.0,12,True,144,-0.9186959081276349,-0.006379832695330798,-0.06125985170803565,47.22222222222222,57,17.00015690393819,0.2982483667357577,1.8177652188002091,66.66666666666666
20,125,350,100.0,12,False,137,-1.929642801162597,-0.014084983950091948,-0.11780797525319342,33.57664233576642,53,25.0,0.4716981132075472,2.2680460581325725,49.056603773584904
20,125,350,100.0,16,True,146,-0.9186709544619864,-0.006292266811383469,-0.06126111074216243,47.94520547945205,62,16.000186148936862,0.2580675185312397,1.638055765857254,64.51612903225806
20,125,350,100.0,16,False,139,-3.929642801162596,-0.028270811519155368,-0.23906564737129032,33.093525179856115,58,23.0,0.39655172413793105,2.000696812105855,46.55172413793103
20,125,350,150.0,8,True,62,3.000100579824366,0.04838871902942526,0.3088180244731112,53.2258064516129,28,5.0000726969141205,0.17857402488979002,0.817114239986418,67.85714285714286
20,125,350,150.0,8,False,60,-1.9929281931714877,-0.033215469886191465,-0.18354260655955298,33.33333333333333,28,11.0,0.39285714285714285,1.3643820804812932,46.42857142857143
20,125,350,150.0,12,True,71,3.000110759961876,0.04225508112622361,0.2908873344565344,53.52112676056338,31,6.000083798492144,0.1935510902739401,0.9236368742378427,67.74193548387096
20,125,350,150.0,12,False,69,-1.9929281931714868,-0.02888301729234039,-0.17094735311489004,33.33333333333333,31,14.0,0.45161290322580644,1.6499158227686108,48.38709677419355
20,125,350,150.0,16,True,72,3.0001286990237457,0.041668454153107576,0.29091549044484766,54.166666666666664,33,8.00011304349082,0.24242766798457033,1.1868318148487,69.6969696969697
20,125,350,150.0,16,False,70,-2.992928193171487,-0.042756117045306956,-0.2558649446994598,32.857142857142854,33,15.0,0.45454545454545453,1.7149858514250884,48.484848484848484
20,150,200,150.0,12,True,77,-0.9998455394747849,-0.012985007006166038,-0.0951495993692789,51.94805194805194,33,6.000069862294578,0.18182029885741144,0.8626724638151334,63.63636363636363
20,150,200,150.0,12,False,76,-8.238490633023149,-0.10840119253977827,-0.6937512153993866,30.263157894736842,32,7.276131291935022,0.22737910287296945,0.8629641924773046,40.625
20,150,200,150.0,16,True,78,-0.9998286303475035,-0.012818315773685942,-0.09515594233638283,52.56410256410257,35,8.000090404555364,0.22857401155872467,1.1131976384433846,65.71428571428571
20,150,200,150.0,16,False,77,-9.23849063302315,-0.11998039783146949,-0.7758430678847975,29.87012987012987,33,9.276131291935023,0.28109488763439466,1.0771361356650413,42.42424242424242
20,150,250,100.0,8,True,146,-14.579038142764542,-0.09985642563537357,-1.0129707910409091,45.89041095890411,50,10.744614335626915,0.2148922867125383,1.2514082714912658,64.0
20,150,250,100.0,8,False,134,-5.734124385476996,-0.04279197302594773,-0.3603084547779329,32.08955223880597,48,10.744480354559881,0.22384334071999754,1.0519529213201753,41.66666666666667
20,150,250,100.0,12,True,149,-15.579044325581807,-0.10455734446699198,-1.0650007590683048,44.966442953020135,58,17.744635519700307,0.3059419917189708,1.8955045584028434,67.24137931034483
20,150,250,100.0,12,False,137,-5.7341243854769965,-0.041854922521729905,-0.3561095730188156,32.11678832116788,53,14.744480354559881,0.2781977425388657,1.365151382908494,43.39622641509434
20,150,200,100.0,8,True,150,-16.579059543341433,-0.11052706362227623,-1.1312708453510871,44.666666666666664,55,9.982495518387848,0.1814999185161427,1.1105915064159557,61.81818181818181
20,150,200,100.0,8,False,140,-7.892904162189218,-0.05637788687278013,-0.4888575864051747,31.428571428571427,52,10.25848069727244,0.1972784749475469,0.9747224562237712,40.38461538461539
20,150,200,100.0,12,True,154,-17.579028810353776,-0.11414953772956997,-1.18086648239745,44.15584415584416,62,18.982520449993444,0.3061696846773136,1.9811768190841905,67.74193548387096
20,150,200,100.0,12,False,144,-8.793061967789324,-0.0610629303318703,-0.5375975526137406,31.25,56,15.25848069727244,0.2724728695941507,1.3832855469423593,42.857142857142854
20,150,200,100.0,16,True,155,-16.579006252564653,-0.10696133066170745,-1.1156578783743383,45.16129032258064,66,18.982540992254226,0.28761425745839736,1.915935862797409,66.66666666666666
20,150,200,100.0,16,False,145,-9.793061967789324,-0.06753835839854706,-0.5977666484184289,31.03448275862069,59,15.258480697272441,0.25861831690292275,1.3493023013318894,42.3728813559322
20,150,200,150.0,8,True,66,0.00010868686760900914,1.6467707213486233e-06,1.100844980343269e-05,51.515151515151516,30,5.000061047068563,0.1666687015689521,0.7570579907065776,63.33333333333333
